                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.86773,                0.88792,                0.91901,                0.85769,                0.72626,                0.84313,                0.48874,                 1.5319,                0.82049,                 1.1704,              0.0057261,              0.0057261,              0.0057261
                     75,                0.85575,                0.88111,                0.91426,                0.87155,                0.70947,                0.84056,                0.59576,                  1.061,                0.76407,                0.97309,              0.0056696,              0.0056696,              0.0056696
                     76,                0.85834,                   0.88,                0.91709,                0.86592,                0.72001,                0.84042,                0.58143,                 1.1277,                0.75954,                0.99058,              0.0056127,              0.0056127,              0.0056127
                     77,                 0.8397,                0.87709,                 0.9095,                 0.8658,                0.73713,                0.84915,                0.58652,                 1.1014,                0.74612,                0.98953,              0.0055554,              0.0055554,              0.0055554
                     78,                0.83025,                0.87612,                0.90898,                0.87834,                0.72212,                0.84466,                0.58962,                 1.1012,                0.73534,                0.97606,              0.0054978,              0.0054978,              0.0054978
                     79,                0.85008,                0.88543,                0.91873,                0.85414,                 0.7232,                0.84259,                0.49696,                 1.5029,                0.82642,                 1.1653,              0.0054398,              0.0054398,              0.0054398
                     80,                 0.8482,                0.88613,                0.91562,                0.86443,                0.73049,                  0.844,                0.58771,                 1.1195,                0.74774,                0.98705,              0.0053814,              0.0053814,              0.0053814
                     81,                0.83654,                0.86474,                0.91198,                0.88002,                0.71641,                0.83919,                0.53848,                 1.3029,                0.76016,                 1.0551,              0.0053227,              0.0053227,              0.0053227
                     82,                0.84754,                0.87221,                0.91524,                0.87905,                0.71021,                0.84293,                0.60068,                 1.0489,                0.72702,                 0.9565,              0.0052637,              0.0052637,              0.0052637
                     83,                0.83863,                  0.859,                0.90926,                 0.8694,                0.72748,                0.84723,                0.58298,                 1.1477,                 0.7237,                0.99663,              0.0052044,              0.0052044,              0.0052044
                     84,                0.83882,                0.86422,                0.91328,                0.87796,                   0.72,                0.84393,                 0.6122,                0.99907,                0.70034,                0.94442,              0.0051448,              0.0051448,              0.0051448
                     85,                0.84186,                0.84908,                0.91346,                0.87147,                0.71862,                0.84359,                0.56207,                 1.2112,                0.77192,                 1.0349,              0.0050849,              0.0050849,              0.0050849
                     86,                0.83133,                0.84444,                0.90672,                0.86763,                0.71668,                0.84436,                 0.5972,                 1.0838,                0.72613,                0.97892,              0.0050248,              0.0050248,              0.0050248
                     87,                0.85354,                0.86845,                 0.9157,                0.85729,                0.70697,                0.83823,                0.61114,                0.98019,                0.73424,                0.92915,              0.0049644,              0.0049644,              0.0049644
                     88,                0.83503,                0.86027,                0.91334,                0.87241,                0.72548,                0.84813,                0.60454,                 1.0482,                 0.7081,                0.96633,              0.0049038,              0.0049038,              0.0049038
                     89,                0.82712,                0.85475,                0.90926,                0.87411,                0.72556,                0.84576,                0.62193,                0.97319,                0.71323,                0.94332,               0.004843,               0.004843,               0.004843
                     90,                0.82303,                0.85541,                0.90404,                0.86605,                0.72919,                0.84784,                0.55518,                  1.238,                0.77062,                 1.0519,               0.004782,               0.004782,               0.004782
                     91,                0.82302,                0.84458,                0.90806,                0.87466,                0.73305,                0.85291,                0.62872,                0.96344,                0.68031,                0.94318,              0.0047208,              0.0047208,              0.0047208
                     92,                0.83123,                0.84618,                0.90673,                0.86658,                0.72984,                0.85258,                  0.627,                0.97519,                0.69128,                0.94119,              0.0046595,              0.0046595,              0.0046595
                     93,                0.82656,                0.84241,                0.90829,                      0,                0.00056,                      0,                      0,                 1.4038,                    inf,                 1.1121,               0.004598,               0.004598,               0.004598
                     94,                0.81203,                0.82503,                0.90133,                0.89248,                0.72877,                 0.8573,                0.60778,                 1.0609,                0.69818,                0.96953,              0.0045363,              0.0045363,              0.0045363
                     95,                0.81345,                0.82688,                0.90227,                0.89157,                0.74125,                0.85808,                0.56879,                 1.2037,                0.72949,                 1.0316,              0.0044745,              0.0044745,              0.0044745
                     96,                 0.8134,                0.82985,                0.90741,                0.87845,                0.73586,                0.85546,                0.60817,                 1.0524,                0.69539,                0.96954,              0.0044127,              0.0044127,              0.0044127
                     97,                 0.8054,                0.82543,                0.90274,                0.85567,                0.73569,                0.85006,                0.63433,                0.91514,                0.69304,                0.92109,              0.0043507,              0.0043507,              0.0043507
                     98,                0.79291,                0.82812,                0.89586,                0.88584,                0.73656,                0.85631,                0.55041,                 1.2023,                0.78313,                 1.0977,              0.0042887,              0.0042887,              0.0042887
                     99,                0.81227,                0.83753,                 0.9026,                0.88671,                 0.7474,                0.86644,                0.63297,                 0.9815,                 0.6575,                 0.9418,              0.0042265,              0.0042265,              0.0042265
                    100,                0.81708,                0.81985,                0.90252,                0.87796,                0.74513,                0.86228,                0.59583,                 1.1177,                0.69776,                 1.0015,              0.0041644,              0.0041644,              0.0041644
                    101,                0.80294,                0.81726,                 0.8995,                0.88104,                0.75159,                0.86288,                0.58328,                 1.1553,                0.69709,                 1.0092,              0.0041022,              0.0041022,              0.0041022
                    102,                0.79455,                0.82018,                0.89673,                0.88557,                0.73898,                0.86215,                0.62721,                0.99341,                0.67594,                0.94203,                0.00404,                0.00404,                0.00404
                    103,                0.79438,                0.80737,                0.90424,                0.88351,                0.75435,                0.86588,                0.61303,                 1.0607,                 0.6902,                0.96272,              0.0039778,              0.0039778,              0.0039778
                    104,                0.81319,                 0.8144,                0.90508,                0.88792,                0.74529,                0.86447,                0.63258,                0.97419,                0.65204,                0.94671,              0.0039156,              0.0039156,              0.0039156
                    105,                0.80195,                0.80795,                0.89623,                0.88428,                0.74432,                0.86509,                0.63606,                0.96881,                0.65747,                0.93598,              0.0038535,              0.0038535,              0.0038535
                    106,                0.78738,                  0.792,                0.89987,                  0.889,                0.74606,                0.86314,                0.63528,                0.94578,                0.66076,                0.93746,              0.0037913,              0.0037913,              0.0037913
                    107,                0.79428,                0.80331,                0.89642,                0.89176,                0.75083,                0.86663,                0.63495,                0.97488,                0.64281,                0.93383,              0.0037293,              0.0037293,              0.0037293
                    108,                0.80914,                0.80334,                0.90085,                0.89141,                0.74856,                0.86612,                0.63369,                0.97844,                  0.655,                0.93717,              0.0036673,              0.0036673,              0.0036673
                    109,                0.78712,                0.79814,                0.89549,                0.88396,                0.74327,                0.86162,                0.57836,                 1.2015,                0.72051,                 1.0148,              0.0036055,              0.0036055,              0.0036055
                    110,                0.79311,                0.79207,                0.90035,                 0.8821,                0.74458,                0.86268,                0.65452,                0.88946,                0.64391,                0.92013,              0.0035437,              0.0035437,              0.0035437
                    111,                0.78372,                0.79261,                0.89357,                0.90149,                0.74214,                0.86798,                0.66892,                 0.8335,                0.61476,                0.89683,               0.003482,               0.003482,               0.003482
                    112,                 0.7768,                0.77826,                0.89718,                0.88792,                0.74886,                0.87035,                0.65299,                0.90246,                0.63303,                0.91594,              0.0034205,              0.0034205,              0.0034205
                    113,                 0.7752,                0.78031,                0.89101,                0.86868,                0.76284,                0.86992,                0.65952,                0.88997,                0.62432,                0.91587,              0.0033592,              0.0033592,              0.0033592
                    114,                 0.7751,                0.78396,                0.89109,                0.87957,                0.76492,                0.87026,                0.64179,                0.94697,                0.62941,                0.93595,               0.003298,               0.003298,               0.003298
                    115,                0.78178,                0.78073,                0.89328,                0.89353,                0.75428,                0.87067,                0.65565,                0.88653,                0.61462,                0.90724,               0.003237,               0.003237,               0.003237
                    116,                0.77294,                0.78926,                0.89355,                0.88149,                 0.7552,                0.87075,                0.65215,                0.91405,                0.63555,                0.92078,              0.0031762,              0.0031762,              0.0031762
                    117,                0.78439,                0.78662,                 0.8937,                0.89562,                0.75169,                0.86809,                0.66602,                0.84663,                0.62017,                0.90014,              0.0031156,              0.0031156,              0.0031156
                    118,                0.76903,                0.76883,                0.88903,                 0.8828,                0.76118,                0.87257,                0.62893,                 1.0156,                0.64533,                0.95125,              0.0030552,              0.0030552,              0.0030552
                    119,                0.78291,                0.77735,                0.89303,                0.88436,                0.75666,                0.87285,                0.63077,                0.98245,                0.64235,                0.95691,              0.0029951,              0.0029951,              0.0029951
                    120,                0.77362,                0.77511,                0.88992,                 0.8975,                0.75726,                0.87391,                0.66422,                 0.8782,                0.61714,                0.90891,              0.0029352,              0.0029352,              0.0029352
                    121,                0.77506,                0.77712,                0.89051,                0.88896,                0.75521,                0.87286,                0.65742,                0.90445,                0.61668,                0.91984,              0.0028756,              0.0028756,              0.0028756
                    122,                0.77242,                0.76269,                0.89669,                0.89692,                0.76147,                0.87613,                0.65899,                0.89562,                0.60828,                0.91359,              0.0028163,              0.0028163,              0.0028163
                    123,                0.76183,                0.76199,                0.89105,                0.88444,                0.76362,                0.87595,                0.67499,                0.83762,                0.59178,                0.89702,              0.0027573,              0.0027573,              0.0027573
                    124,                0.76467,                0.74975,                0.88935,                0.89538,                0.76021,                0.87807,                0.68153,                 0.8013,                0.57747,                0.88658,              0.0026986,              0.0026986,              0.0026986
                    125,                0.76101,                0.76337,                0.88866,                0.90592,                0.75189,                0.87699,                0.67205,                 0.8465,                0.60546,                0.90207,              0.0026402,              0.0026402,              0.0026402
                    126,                0.76199,                0.74809,                0.88996,                 0.8962,                0.76925,                0.88062,                0.66108,                0.89032,                0.59639,                0.91222,              0.0025822,              0.0025822,              0.0025822
                    127,                0.76774,                0.75996,                0.89441,                0.89116,                0.76684,                0.88023,                0.65892,                0.90935,                0.60606,                0.92309,              0.0025246,              0.0025246,              0.0025246
                    128,                0.74699,                0.73377,                0.88696,                0.90014,                0.75585,                0.87652,                0.67477,                0.82508,                0.59353,                0.89713,              0.0024673,              0.0024673,              0.0024673
                    129,                0.75354,                0.74202,                0.88387,                0.89323,                0.76686,                0.88055,                0.61383,                 1.0367,                 0.6339,                 1.0113,              0.0024104,              0.0024104,              0.0024104
                    130,                0.75618,                0.74421,                0.88878,                0.90179,                0.76186,                 0.8804,                0.66256,                0.89214,                0.59476,                0.92495,              0.0023539,              0.0023539,              0.0023539
                    131,                0.75584,                0.74171,                0.88669,                0.89689,                0.77242,                0.88318,                0.67606,                0.85678,                0.58818,                0.90738,              0.0022978,              0.0022978,              0.0022978
                    132,                0.74833,                0.72779,                0.88812,                0.88819,                 0.7766,                0.88404,                0.67492,                0.85445,                0.58589,                0.90315,              0.0022422,              0.0022422,              0.0022422
                    133,                0.75158,                0.72947,                0.88748,                0.90366,                0.77325,                0.88692,                0.66449,                0.90859,                0.58966,                0.91738,               0.002187,               0.002187,               0.002187
                    134,                0.74638,                0.73573,                0.88457,                0.89521,                0.77324,                0.88243,                0.67215,                0.86004,                0.58101,                0.90745,              0.0021323,              0.0021323,              0.0021323
                    135,                0.73618,                0.72055,                0.88286,                0.89299,                0.77627,                0.88327,                 0.6812,                0.82248,                0.57574,                0.89444,               0.002078,               0.002078,               0.002078
                    136,                0.72397,                0.70915,                0.87936,                0.89955,                 0.7706,                0.88386,                0.65982,                0.90891,                0.59556,                0.91643,              0.0020242,              0.0020242,              0.0020242
                    137,                0.73404,                0.71882,                0.88179,                0.90138,                0.77163,                0.88571,                0.66858,                0.89612,                0.58181,                0.91746,              0.0019709,              0.0019709,              0.0019709
                    138,                0.73599,                0.71928,                0.88115,                0.91095,                 0.7701,                0.88599,                0.66594,                0.88282,                0.57661,                0.91495,              0.0019181,              0.0019181,              0.0019181
                    139,                0.74119,                0.71407,                0.88355,                0.89366,                0.76806,                0.88446,                0.68928,                0.79955,                0.56544,                0.88641,              0.0018659,              0.0018659,              0.0018659
                    140,                0.73668,                0.71151,                0.88187,                0.88891,                0.77647,                0.88625,                0.68164,                  0.837,                0.56361,                0.90098,              0.0018141,              0.0018141,              0.0018141
                    141,                0.73434,                0.71729,                0.88018,                 0.8849,                0.78556,                0.88904,                0.66372,                0.91262,                0.58058,                0.92512,               0.001763,               0.001763,               0.001763
                    142,                  0.738,                0.71168,                0.88366,                0.90461,                0.77326,                0.88811,                0.68746,                0.81888,                0.55917,                0.89365,              0.0017124,              0.0017124,              0.0017124
                    143,                  0.726,                0.69917,                0.88258,                0.90043,                0.77231,                0.88749,                0.67165,                0.88527,                0.57602,                0.91638,              0.0016623,              0.0016623,              0.0016623
                    144,                0.72231,                0.70701,                0.87769,                0.90472,                0.77907,                0.89128,                0.67666,                0.86731,                0.57283,                0.91327,              0.0016129,              0.0016129,              0.0016129
                    145,                0.72931,                0.71531,                0.87863,                0.89579,                0.78578,                0.89169,                 0.6827,                0.83894,                0.56216,                0.89704,               0.001564,               0.001564,               0.001564
                    146,                 0.7257,                0.69749,                0.88055,                0.91231,                0.77683,                0.89411,                0.68701,                0.83266,                0.55324,                0.89678,              0.0015158,              0.0015158,              0.0015158
                    147,                0.72095,                0.69384,                0.87842,                0.90694,                0.77781,                  0.893,                0.67914,                0.86392,                0.56463,                0.90934,              0.0014682,              0.0014682,              0.0014682
                    148,                0.71998,                0.69006,                0.87815,                0.90071,                 0.7852,                0.89505,                0.68831,                  0.837,                0.55363,                0.90022,              0.0014212,              0.0014212,              0.0014212
                    149,                0.71942,                 0.6913,                0.87694,                0.90373,                0.78475,                0.89477,                0.69207,                0.82216,                0.55268,                0.89595,              0.0013749,              0.0013749,              0.0013749
                    150,                0.72237,                0.69343,                0.87832,                0.90327,                0.78058,                0.89419,                0.69253,                0.82041,                0.55132,                0.89078,              0.0013292,              0.0013292,              0.0013292
                    151,                0.71232,                0.67173,                0.87377,                0.89797,                0.78847,                0.89547,                0.68802,                0.83301,                0.54692,                0.89495,              0.0012842,              0.0012842,              0.0012842
                    152,                0.71597,                0.67494,                0.87756,                0.89942,                  0.791,                0.89574,                 0.6878,                0.83882,                 0.5445,                0.89776,              0.0012399,              0.0012399,              0.0012399
                    153,                0.72108,                0.67385,                0.87827,                0.90336,                 0.7849,                0.89729,                0.68159,                0.86792,                0.55464,                0.90904,              0.0011962,              0.0011962,              0.0011962
                    154,                0.71826,                0.67149,                0.87981,                0.90764,                0.78185,                0.89661,                0.67809,                 0.8829,                0.55765,                0.91579,              0.0011533,              0.0011533,              0.0011533
                    155,                0.70017,                0.66821,                0.87451,                0.90799,                0.78168,                0.89592,                0.68847,                0.83792,                0.54618,                0.90034,              0.0011111,              0.0011111,              0.0011111
